Wavelength (nm),% Transmission,,,,,,,,,,
382,0.00007923,,,,,,,,,,
382.2,0.00007379,,,,,,,,,,
382.4,0.00007794,,,,,,,,,,
382.6,0.00008109,,,,,,,,,,
382.8,0.00007824,,,,,,,,,,
383,0.00007464,,,,,,,,,,
383.2,0.00007478,,,,,,,,,,
383.4,0.00007087,,,,,,,,,,
383.6,0.00007715,,,,,,,,,,
383.8,0.00007872,,,,,,,,,,
384,0.00007996,,,,,,,,,,
384.2,0.00007504,,,,,,,,,,
384.4,0.00007618,,,,,,,,,,
384.6,0.00007882,,,,,,,,,,
384.8,0.00007865,,,,,,,,,,
385,0.00008283,,,,,,,,,,
385.2,0.00007834,,,,,,,,,,
385.4,0.00007585,,,,,,,,,,
385.6,0.00008175,,,,,,,,,,
385.8,0.00008166,,,,,,,,,,
386,0.00008192,,,,,,,,,,
386.2,0.00007458,,,,,,,,,,
386.4,0.00007871,,,,,,,,,,
386.6,0.00007694,,,,,,,,,,
386.8,0.00008139,,,,,,,,,,
387,0.00007973,,,,,,,,,,
387.2,0.00008354,,,,,,,,,,
387.4,0.00007944,,,,,,,,,,
387.6,0.00008048,,,,,,,,,,
387.8,0.00008249,,,,,,,,,,
388,0.00007995,,,,,,,,,,
388.2,0.00008498,,,,,,,,,,
388.4,0.00008324,,,,,,,,,,
388.6,0.00007834,,,,,,,,,,
388.8,0.00008197,,,,,,,,,,
389,0.00007879,,,,,,,,,,
389.2,0.00008031,,,,,,,,,,
389.4,0.00007998,,,,,,,,,,
389.6,0.00007985,,,,,,,,,,
389.8,0.00007770,,,,,,,,,,
390,0.00008036,,,,,,,,,,
390.2,0.00007832,,,,,,,,,,
390.4,0.00008464,,,,,,,,,,
390.6,0.00008013,,,,,,,,,,
390.8,0.00008172,,,,,,,,,,
391,0.00008110,,,,,,,,,,
391.2,0.00008394,,,,,,,,,,
391.4,0.00008011,,,,,,,,,,
391.6,0.00007547,,,,,,,,,,
391.8,0.00008510,,,,,,,,,,
392,0.00007991,,,,,,,,,,
392.2,0.00008889,,,,,,,,,,
392.4,0.00008357,,,,,,,,,,
392.6,0.00008238,,,,,,,,,,
392.8,0.00007680,,,,,,,,,,
393,0.00007939,,,,,,,,,,
393.2,0.00008109,,,,,,,,,,
393.4,0.00008419,,,,,,,,,,
393.6,0.00008367,,,,,,,,,,
393.8,0.00007867,,,,,,,,,,
394,0.00008361,,,,,,,,,,
394.2,0.00008857,,,,,,,,,,
394.4,0.00009128,,,,,,,,,,
394.6,0.00009466,,,,,,,,,,
394.8,0.00009702,,,,,,,,,,
395,0.00010082,,,,,,,,,,
395.2,0.00010567,,,,,,,,,,
395.4,0.00011606,,,,,,,,,,
395.6,0.00011673,,,,,,,,,,
395.8,0.00012535,,,,,,,,,,
396,0.00012802,,,,,,,,,,
396.2,0.00013501,,,,,,,,,,
396.4,0.00014206,,,,,,,,,,
396.6,0.00015175,,,,,,,,,,
396.8,0.00015299,,,,,,,,,,
397,0.00016207,,,,,,,,,,
397.2,0.00016676,,,,,,,,,,
397.4,0.00017281,,,,,,,,,,
397.6,0.00018374,,,,,,,,,,
397.8,0.00018679,,,,,,,,,,
398,0.00019051,,,,,,,,,,
398.2,0.00019734,,,,,,,,,,
398.4,0.00020809,,,,,,,,,,
398.6,0.00021639,,,,,,,,,,
398.8,0.00022304,,,,,,,,,,
399,0.00022307,,,,,,,,,,
399.2,0.00023510,,,,,,,,,,
399.4,0.00024124,,,,,,,,,,
399.6,0.00024855,,,,,,,,,,
399.8,0.00025642,,,,,,,,,,
400,0.00071899,,,,,,,,,,
400.2,0.00091037,,,,,,,,,,
400.4,0.00072832,,,,,,,,,,
400.6,0.00088172,,,,,,,,,,
400.8,0.00086771,,,,,,,,,,
401,0.00096152,,,,,,,,,,
401.2,0.00065720,,,,,,,,,,
401.4,0.00068676,,,,,,,,,,
401.6,0.00098199,,,,,,,,,,
401.8,0.00045282,,,,,,,,,,
402,0.00056286,,,,,,,,,,
402.2,0.00106910,,,,,,,,,,
402.4,0.00069638,,,,,,,,,,
402.6,0.00071357,,,,,,,,,,
402.8,0.00073583,,,,,,,,,,
403,0.00107320,,,,,,,,,,
403.2,0.00058917,,,,,,,,,,
403.4,0.00082441,,,,,,,,,,
403.6,0.00060429,,,,,,,,,,
403.8,0.00073856,,,,,,,,,,
404,0.00101270,,,,,,,,,,
404.2,0.00088694,,,,,,,,,,
404.4,0.00076626,,,,,,,,,,
404.6,0.00076901,,,,,,,,,,
404.8,0.00103890,,,,,,,,,,
405,0.00104650,,,,,,,,,,
405.2,0.00073656,,,,,,,,,,
405.4,0.00078697,,,,,,,,,,
405.6,0.00074265,,,,,,,,,,
405.8,0.00084889,,,,,,,,,,
