Typical Measured Spectrum of Semrock FF01-607/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
415.4	2.4517e-08
415.6	2.1941e-08
415.8	1.9636e-08
416.0	1.7573e-08
416.2	1.5727e-08
416.4	1.4075e-08
416.6	1.2597e-08
416.8	1.1273e-08
417.0	1.0633e-08
417.2	1.1789e-08
417.4	1.3071e-08
417.6	1.4493e-08
417.8	1.6069e-08
418.0	1.7817e-08
418.2	1.9755e-08
418.4	2.1904e-08
418.6	2.4286e-08
418.8	2.6927e-08
419.0	2.9856e-08
419.2	3.3103e-08
419.4	3.6704e-08
419.6	4.0696e-08
419.8	4.5122e-08
420.0	5.0029e-08
420.2	5.5471e-08
420.4	6.1504e-08
420.6	6.8193e-08
420.8	7.561e-08
421.0	8.3833e-08
421.2	9.2951e-08
421.4	1.0306e-07
421.6	1.1427e-07
421.8	1.267e-07
422.0	1.3849e-07
422.2	1.4431e-07
422.4	1.5039e-07
422.6	1.5671e-07
422.8	1.633e-07
423.0	1.7017e-07
423.2	1.7733e-07
423.4	1.8479e-07
423.6	1.9257e-07
423.8	2.0067e-07
424.0	2.0911e-07
424.2	2.1791e-07
424.4	2.2707e-07
424.6	2.3663e-07
424.8	2.4658e-07
425.0	2.5695e-07
425.2	2.6776e-07
425.4	2.7903e-07
425.6	2.9077e-07
425.8	3.03e-07
426.0	3.1574e-07
426.2	3.2903e-07
426.4	3.4287e-07
426.6	3.5729e-07
426.8	3.7232e-07
427.0	3.7444e-07
427.2	3.3197e-07
427.4	2.9432e-07
427.6	2.6094e-07
427.8	2.3134e-07
428.0	2.0511e-07
428.2	1.8184e-07
428.4	1.6122e-07
428.6	1.4294e-07
428.8	1.2672e-07
429.0	1.1235e-07
429.2	9.961e-08
429.4	8.8312e-08
429.6	7.8296e-08
429.8	6.9416e-08
430.0	6.1543e-08
430.2	5.4564e-08
430.4	4.8375e-08
430.6	4.2889e-08
430.8	3.8024e-08
431.0	3.3712e-08
431.2	2.9888e-08
431.4	2.6499e-08
431.6	2.3493e-08
431.8	2.0829e-08
432.0	1.8779e-08
432.2	1.7881e-08
432.4	1.7027e-08
432.6	1.6213e-08
432.8	1.5438e-08
433.0	1.47e-08
433.2	1.3997e-08
433.4	1.3328e-08
433.6	1.2691e-08
433.8	1.2085e-08
434.0	1.1507e-08
434.2	1.0957e-08
434.4	1.0433e-08
434.6	9.9346e-09
434.8	9.4598e-09
435.0	9.0076e-09
435.2	8.5771e-09
435.4	8.1671e-09
435.6	7.7767e-09
435.8	7.405e-09
436.0	7.0511e-09
436.2	6.714e-09
436.4	6.3931e-09
436.6	6.0876e-09
436.8	5.7966e-09
437.0	5.5895e-09
437.2	5.5918e-09
437.4	5.5941e-09
437.6	5.5965e-09
437.8	5.5988e-09
438.0	5.6011e-09
438.2	5.6035e-09
438.4	5.6058e-09
438.6	5.6081e-09
438.8	5.6105e-09
439.0	5.6128e-09
439.2	5.6151e-09
439.4	5.6175e-09
439.6	5.6198e-09
439.8	5.6222e-09
440.0	5.6245e-09
440.2	5.6268e-09
440.4	5.6292e-09
440.6	5.6315e-09
440.8	5.6339e-09
441.0	5.6362e-09
441.2	5.6386e-09
441.4	5.6409e-09
441.6	5.6433e-09
441.8	5.6456e-09
442.0	5.8083e-09
442.2	6.5455e-09
442.4	7.3763e-09
442.6	8.3125e-09
442.8	9.3676e-09
443.0	1.0557e-08
443.2	1.1897e-08
443.4	1.3407e-08
443.6	1.5108e-08
443.8	1.7026e-08
444.0	1.9187e-08
444.2	2.1622e-08
444.4	2.4367e-08
444.6	2.7459e-08
444.8	3.0945e-08
445.0	3.4872e-08
445.2	3.9299e-08
445.4	4.4287e-08
445.6	4.9908e-08
445.8	5.6242e-08
446.0	6.3381e-08
446.2	7.1426e-08
446.4	8.0492e-08
446.6	9.0708e-08
446.8	1.0222e-07
447.0	1.1106e-07
447.2	1.0599e-07
447.4	1.0116e-07
447.6	9.6541e-08
447.8	9.2137e-08
448.0	8.7933e-08
448.2	8.3921e-08
448.4	8.0091e-08
448.6	7.6437e-08
448.8	7.295e-08
449.0	6.9621e-08
449.2	6.6444e-08
449.4	6.3413e-08
449.6	6.0519e-08
449.8	5.7758e-08
450.0	5.5123e-08
450.2	5.2608e-08
450.4	5.0207e-08
450.6	4.7916e-08
450.8	4.573e-08
451.0	4.3644e-08
451.2	4.1652e-08
451.4	3.9752e-08
451.6	3.7938e-08
451.8	3.6207e-08
452.0	3.4913e-08
452.2	3.4958e-08
452.4	3.5002e-08
452.6	3.5047e-08
452.8	3.5092e-08
453.0	3.5137e-08
453.2	3.5182e-08
453.4	3.5226e-08
453.6	3.5271e-08
453.8	3.5316e-08
454.0	3.5362e-08
454.2	3.5407e-08
454.4	3.5452e-08
454.6	3.5497e-08
454.8	3.5542e-08
455.0	3.5588e-08
455.2	3.5633e-08
455.4	3.5679e-08
455.6	3.5724e-08
455.8	3.577e-08
456.0	3.5815e-08
